Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,âˆšx (sx) error,Pauli-X error,Gate length (ns),CZ error,RZZ error,MEASURE error,Operational
78,116.347522,95.43147527,0.015380859,0.017089844,0.013916016,1560,0.000277581,24,0.000277581,0,0.000277581,0.000277581,69:68;89:68,69:0.0022853756476695353;89:0.0030547283120454793,69:0.0019125301728648292;89:0.0023802806333464988,0.015380859,Yes
79,147.3009873,51.77897159,0.009033203,0.014160156,0.00390625,1560,0.000174217,24,0.000174217,0,0.000174217,0.000174217,93:68;73:68,93:0.005397331497411256;73:0.0023166504992846726,93:0.003945767647181103;73:0.0023517068575824307,0.009033203,Yes
80,162.7732035,145.5076275,0.005859375,0.010009766,0.001708984,1560,0.0001992,24,0.0001992,0,0.0001992,0.0001992,81:68,21:00.0,21:00.0,0.005859375,Yes
81,160.597706,21.76973371,0.018676758,0.022216797,0.015136719,1560,0.00015615,24,0.00015615,0,0.00015615,0.00015615,80:68;82:68;76:68,80:0.0016073295207179317;82:0.0022056615698919924;76:0.0016141905052604322,80:0.003077513980119989;82:0.006457855619045966;76:0.0016877229314595232,0.018676758,Yes
82,105.759169,34.15577243,0.004638672,0.008300781,0.000976563,1560,0.000317733,24,0.000317733,0,0.000317733,0.000317733,81:68;83:68,81:0.0022056615698919924;83:0.0024062438201797043,81:0.006457855619045966;83:0.00777300546739873,0.004638672,Yes
83,211.1838652,218.9723109,0.085571289,0.088867188,0.082275391,1560,0.000175018,24,0.000175018,0,0.000175018,0.000175018,96:68;82:68;84:68,96:0.002229054276869813;82:0.0024062438201797043;84:0.002626059815893589,96:0.002155389762533544;82:0.00777300546739873;84:0.0026526973797196263,0.085571289,Yes
84,120.0377707,90.2054661,0.00402832,0.007080078,0.000976563,1560,0.000245708,24,0.000245708,0,0.000245708,0.000245708,83:68;85:68,83:0.002626059815893589;85:0.0022435512144235448,83:0.0026526973797196263;85:0.002223493802373716,0.00402832,Yes
85,103.4671103,30.69247806,0.009155273,0.011962891,0.006347656,1560,0.000311909,24,0.000311909,0,0.000311909,0.000311909,77:68;86:68;84:68,77:0.003256027074343082;86:0.0030196020542561097;84:0.0022435512144235448,77:0.0034127957007173693;86:0.00237191474372786;84:0.002223493802373716,0.009155273,Yes
86,97.99858007,70.76489269,0.007202148,0.0078125,0.006591797,1560,0.000242561,24,0.000242561,0,0.000242561,0.000242561,85:68;87:68,85:0.0030196020542561097;87:0.002188156721051715,85:0.00237191474372786;87:0.0014679757456357578,0.007202148,Yes
87,141.2311405,212.573168,0.046508789,0.062011719,0.031005859,1560,0.000219792,24,0.000219792,0,0.000219792,0.000219792,86:68;88:68;97:68,86:0.002188156721051715;88:0.003237189486011288;97:0.002886973905675494,86:0.0014679757456357578;88:0.0025594991194229366;97:0.0026100533507181223,0.046508789,Yes
88,68.43950917,98.72488299,0.008178711,0.012695313,0.003662109,1560,0.000491703,24,0.000491703,0,0.000491703,0.000491703,87:68;89:68,87:0.003237189486011288;89:0.0033130995678863073,87:0.0025594991194229366;89:0.003124511981010686,0.008178711,Yes
89,128.6105291,82.50489882,0.015625,0.017089844,0.014160156,1560,0.000159743,24,0.000159743,0,0.000159743,0.000159743,90:68;88:68;78:68,90:0.0034574227109393507;88:0.0033130995678863073;78:0.0030547283120454793,90:0.0030106017923069717;88:0.003124511981010686;78:0.0023802806333464988,0.015625,Yes
90,104.2375387,108.8474468,0.005493164,0.007080078,0.00390625,1560,0.000326968,24,0.000326968,0,0.000326968,0.000326968,89:68;91:68,89:0.0034574227109393507;91:0.0040277202758493,89:0.0030106017923069717;91:0.0032804849104698663,0.005493164,Yes
91,148.9309653,20.12487628,0.022094727,0.027832031,0.016357422,1560,0.000343708,24,0.000343708,0,0.000343708,0.000343708,98:68;90:68;92:68,98:0.002298885788589694;90:0.0040277202758493;92:0.002652748350099793,98:0.001979122219600782;90:0.0032804849104698663;92:0.00257888390605282,0.022094727,Yes
92,84.46263522,136.035544,0.007446289,0.012207031,0.002685547,1560,0.00031663,24,0.00031663,0,0.00031663,0.00031663,91:68;93:68,91:0.002652748350099793;93:0.0021770075348067353,91:0.00257888390605282;93:0.0022798201441775467,0.007446289,Yes
93,177.3231325,163.0834699,0.024658203,0.031738281,0.017578125,1560,0.000269588,24,0.000269588,0,0.000269588,0.000269588,94:68;79:68;92:68,94:0.003059052175203747;79:0.005397331497411256;92:0.0021770075348067353,94:0.003021075647780813;79:0.003945767647181103;92:0.0022798201441775467,0.024658203,Yes
94,109.9156367,45.99034625,0.009887695,0.007080078,0.012695313,1560,0.000309011,24,0.000309011,0,0.000309011,0.000309011,93:68;95:68,93:0.003059052175203747;95:0.002415425466467891,93:0.003021075647780813;95:0.002361239199946047,0.009887695,Yes
95,146.4332989,168.5816499,0.005615234,0.016601563,0.003417969,1560,0.000157604,24,0.000157604,0,0.000157604,0.000157604,99:68;94:68,99:0.002423978037104507;94:0.002415425466467891,34:00.0,0.005615234,Yes
96,90.91352945,105.9495308,0.003662109,0.005615234,0.001708984,1560,0.000252659,24,0.000252659,0,0.000252659,0.000252659,83:68;103:68,83:0.002229054276869813;103:0.002885043906654894,83:0.002155389762533544;103:0.002275081258541145,0.003662109,Yes
97,80.00449822,113.3877877,0.005493164,0.007324219,0.003662109,1560,0.000571184,24,0.000571184,0,0.000571184,0.000571184,87:68;107:68,87:0.002886973905675494;107:0.0019187286911348245,87:0.0026100533507181223;107:0.0020538742231268337,0.005493164,Yes
98,153.431017,18.73251778,0.008666992,0.010009766,0.007324219,1560,0.000241026,24,0.000241026,0,0.000241026,0.000241026,91:68;111:68,91:0.002298885788589694;111:0.0029454482220419576,91:0.001979122219600782;111:0.0026695617535955896,0.008666992,Yes
99,74.24540547,29.88761163,0.01171875,0.009033203,0.014404297,1560,0.000297708,24,0.000297708,0,0.000297708,0.000297708,115:68;95:68,115:0.0025573742022895196;95:0.002423978037104507,,0.01171875,Yes
100,120.6543555,31.79167772,0.01184082,0.020507813,0.003173828,1560,0.000580539,24,0.000580539,0,0.000580539,0.000580539,101:68,41:00.0,41:00.0,0.01184082,Yes
101,178.1752319,64.18376519,0.057617188,0.065917969,0.049316406,1560,0.000228815,24,0.000228815,0,0.000228815,0.000228815,100:68;116:68;102:68,100:0.0032866985748951083;116:0.0020546811775487006;102:0.0031151515258091567,100:0.0037626058444740207;116:0.0016973839273557167;102:0.0034656928803018516,0.057617188,Yes
102,162.9076073,93.70358444,0.01550293,0.027587891,0.003417969,1560,0.000438914,24,0.000438914,0,0.000438914,0.000438914,101:68;103:88,101:0.0031151515258091567;103:0.00318454675487978,101:0.0034656928803018516;103:0.0031541804251102312,0.01550293,Yes
103,63.37106163,64.59508375,0.006835938,0.010009766,0.003662109,1560,0.000224058,24,0.000224058,0,0.000224058,0.000224058,104:68;96:68;102:88,104:0.0024073012609484024;96:0.002885043906654894;102:0.00318454675487978,104:0.003051165797322175;96:0.002275081258541145;102:0.0031541804251102312,0.006835938,Yes
104,54.55038886,53.61591155,0.010131836,0.013671875,0.006591797,1560,0.000322229,24,0.000322229,0,0.000322229,0.000322229,103:68;105:68,103:0.0024073012609484024;105:0.0025926396857497147,103:0.003051165797322175;105:0.0029678492061976647,0.010131836,Yes
105,125.0379643,116.9116192,0.016967773,0.017578125,0.016357422,1560,0.000190305,24,0.000190305,0,0.000190305,0.000190305,104:68;106:68;117:68,104:0.0025926396857497147;106:0.0026997427615136904;117:0.0019065632972963542,104:0.0029678492061976647;106:0.0022987896056367585;117:0.0022315892985377284,0.016967773,Yes
106,90.95800874,95.64341684,0.00769043,0.009521484,0.005859375,1560,0.000304577,24,0.000304577,0,0.000304577,0.000304577,107:68;105:68,107:0.0020234378015530907;105:0.0026997427615136904,107:0.0037823957139541675;105:0.0022987896056367585,0.00769043,Yes
107,77.67120466,20.22330428,0.008544922,0.012451172,0.004638672,1560,0.000383029,24,0.000383029,0,0.000383029,0.000383029,106:68;108:68;97:68,106:0.0020234378015530907;108:0.001982720900296553;97:0.0019187286911348245,106:0.0037823957139541675;108:0.002638853446657541;97:0.0020538742231268337,0.008544922,Yes
108,121.9614234,122.9377462,0.006103516,0.010253906,0.001953125,1560,0.000503269,24,0.000503269,0,0.000503269,0.000503269,107:68;109:68,47:00.0,107:0.002638853446657541;109:0.005431619254409631,0.006103516,Yes
109,131.9806767,78.31912022,0.010253906,0.013427734,0.007080078,1560,0.000243018,24,0.000243018,0,0.000243018,0.000243018,108:68;110:68;118:68,,108:0.005431619254409631;110:0.0031750610583856365;118:0.001773098831573977,0.010253906,Yes
110,84.29770991,83.1004532,0.006713867,0.009277344,0.004150391,1560,0.000251861,24,0.000251861,0,0.000251861,0.000251861,109:68;111:68,51:00.0,109:0.0031750610583856365;111:0.0023692993463532708,0.006713867,Yes
111,180.8099769,115.7626353,0.012451172,0.012207031,0.012695313,1560,0.000192026,24,0.000192026,0,0.000192026,0.000192026,112:68;110:68;98:68,112:0.0024960906103569658;110:0.002294160386942218;98:0.0029454482220419576,112:0.0022824620791645767;110:0.0023692993463532708;98:0.0026695617535955896,0.012451172,Yes
112,143.1942655,117.4722856,0.008422852,0.013671875,0.008544922,1560,0.000203805,24,0.000203805,0,0.000203805,0.000203805,111:68;113:68,111:0.0024960906103569658;113:0.0025122014688622463,111:0.0022824620791645767;113:0.0023925350435230197,0.008422852,Yes
113,173.8222386,28.45957284,0.083984375,0.082275391,0.085693359,1560,0.000325286,24,0.000325286,0,0.000325286,0.000325286,119:68;112:68;114:68,119:0.0024201828508056966;112:0.0025122014688622463;114:0.0030697338981165168,119:0.0025796270447081826;112:0.0023925350435230197;114:0.0032930456283076226,0.083984375,Yes
114,149.9533054,34.25707174,0.007202148,0.011962891,0.002441406,1560,0.000297555,24,0.000297555,0,0.000297555,0.000297555,115:68;113:68,115:0.004308160607499445;113:0.0030697338981165168,115:0.002696586299488185;113:0.0032930456283076226,0.007202148,Yes
115,166.3393205,224.1724372,0.005737305,0.010009766,0.001464844,1560,0.000218635,24,0.000218635,0,0.000218635,0.000218635,99:68;114:68,99:0.0025573742022895196;114:0.004308160607499445,54:00.0,0.005737305,Yes
116,181.5684687,200.7042607,0.010375977,0.013427734,0.007324219,1560,0.000165933,24,0.000165933,0,0.000165933,0.000165933,101:68;121:68,101:0.0020546811775487006;121:0.005237801849502649,101:0.0016973839273557167;121:0.0027360458535843346,0.010375977,Yes
117,156.5102747,151.7533662,0.018554688,0.020019531,0.017089844,1560,0.000232479,24,0.000232479,0,0.000232479,0.000232479,105:68;125:68,105:0.0019065632972963542;125:0.002144874191424423,105:0.0022315892985377284;125:0.002581276699830437,0.018554688,Yes
118,163.3257912,60.17917392,0.008178711,0.009033203,0.007324219,1560,0.000274109,24,0.000274109,0,0.000274109,0.000274109,109:68;129:68,09:00.0,109:0.001773098831573977;129:0.0025768207626736817,0.008178711,Yes
119,91.33273938,124.9593511,0.024536133,0.0390625,0.010009766,1560,0.000630551,24,0.000630551,0,0.000630551,0.000630551,113:68;133:68,113:0.0024201828508056966;133:0.002470033765410745,113:0.0025796270447081826;133:0.0022862839842051896,0.024536133,Yes
120,118.8044164,138.354097,0.006835938,0.008056641,0.005615234,1560,0.000305414,24,0.000305414,0,0.000305414,0.000305414,121:68,01:00.0,01:00.0,0.006835938,Yes
121,172.4008489,149.6570487,0.014038086,0.016357422,0.01171875,1560,0.000177347,24,0.000177347,0,0.000177347,0.000177347,120:68;122:68;116:68,120:0.002080946413838186;122:0.003043713650447838;116:0.005237801849502649,120:0.001917628428143775;122:0.0027673391167433448;116:0.0027360458535843346,0.014038086,Yes
122,141.9283331,59.81813217,0.009277344,0.012451172,0.006103516,1560,0.000382685,24,0.000382685,0,0.000382685,0.000382685,121:68;123:68,121:0.003043713650447838;123:0.002705561552442365,121:0.0027673391167433448;123:0.0025464235562246695,0.009277344,Yes
123,195.079628,154.2681386,0.008422852,0.011962891,0.004882813,1560,0.000217241,24,0.000217241,0,0.000217241,0.000217241,136:68;124:68;122:68,136:0.002355681071773419;124:0.0022010218563976724;122:0.002705561552442365,136:0.002126784812540361;124:0.002485822411965488;122:0.0025464235562246695,0.008422852,Yes
124,74.51366157,88.93290372,0.006713867,0.012695313,0.000732422,1560,0.000269873,24,0.000269873,0,0.000269873,0.000269873,123:68;125:68,123:0.0022010218563976724;125:0.002374284744713906,123:0.002485822411965488;125:0.0023095128646479224,0.006713867,Yes
125,166.5930432,48.99725744,0.012329102,0.011962891,0.012695313,1560,0.000199431,24,0.000199431,0,0.000199431,0.000199431,117:68;124:68;126:68,117:0.002144874191424423;124:0.002374284744713906;126:0.005223358091668795,117:0.002581276699830437;124:0.0023095128646479224;126:0.0034046746131810857,0.012329102,Yes
126,57.87733962,50.29783556,0.006835938,0.010742188,0.002929688,1560,0.000378612,24,0.000378612,0,0.000378612,0.000378612,127:68;125:68,127:0.0024778037831756083;125:0.005223358091668795,127:0.003096420213004575;125:0.0034046746131810857,0.006835938,Yes
127,103.0578199,132.7084369,0.013061523,0.019042969,0.007080078,1560,0.000229704,24,0.000229704,0,0.000229704,0.000229704,126:68;128:68;137:68,126:0.0024778037831756083;128:0.0019379411494811483;137:0.0042810706104124685,126:0.003096420213004575;128:0.0019177812891446322;137:0.003880404416555183,0.013061523,Yes
128,34.73071447,30.53071454,0.01171875,0.017333984,0.006103516,1560,0.000235121,24,0.000235121,0,0.000235121,0.000235121,127:68;129:68,127:0.0019379411494811483;129:0.0025611034446594294,127:0.0019177812891446322;129:0.0024184169394869393,0.01171875,Yes
129,153.2545417,112.2897032,0.020019531,0.0234375,0.016357422,1560,0.000281559,24,0.000281559,0,0.000281559,0.000281559,130:68;128:68;118:68,130:0.0034207292061581296;128:0.0025611034446594294;118:0.0031252903577970448,130:0.0025739868647143838;128:0.0024184169394869393;118:0.0025768207626736817,0.020019531,Yes
130,68.17551745,96.36542163,0.005493164,0.008056641,0.002929688,1560,0.0004764,24,0.0004764,0,0.0004764,0.0004764,129:68;131:68,129:0.0034207292061581296;131:0.0030900551749408756,129:0.0025739868647143838;131:0.002081183213438864,0.005493164,Yes
131,102.823724,155.3989578,0.081176758,0.086669922,0.075683594,1560,0.000181969,24,0.000181969,0,0.000181969,0.000181969,138:68;130:68;132:68,138:0.002793747729689544;130:0.0030900551749408756;132:0.0023994793231247036,138:0.002760905166462463;130:0.002081183213438864;132:0.001326688962920125,0.081176758,Yes
132,70.89505605,101.2467585,0.00402832,0.006347656,0.001708984,1560,0.000292167,24,0.000292167,0,0.000292167,0.000292167,133:68;131:68,133:0.0028982072812681337;131:0.0023994793231247036,133:0.0020215880348543602;131:0.001326688962920125,0.00402832,Yes
133,130.6277264,41.93329566,0.01184082,0.01953125,0.004150391,1560,0.000191577,24,0.000191577,0,0.000191577,0.000191577,132:68;134:68;119:68,132:0.0028982072812681337;134:0.0023517993847367025;119:0.002470033765410745,132:0.0020215880348543602;134:0.002618495473902055;119:0.0022862839842051896,0.01184082,Yes
134,134.943407,38.54800443,0.008544922,0.012939453,0.004150391,1560,0.000421731,24,0.000421731,0,0.000421731,0.000421731,133:68;135:68,133:0.0023517993847367025;135:0.005692117362663757,133:0.002618495473902055;135:0.006305455883455491,0.008544922,Yes
135,153.6121112,194.0977735,0.055908203,0.067626953,0.044189453,1560,0.000205385,24,0.000205385,0,0.000205385,0.000205385,134:68;139:68,134:0.005692117362663757;139:0.008145937346272586,134:0.006305455883455491;139:0.0078031124625191906,0.055908203,Yes
136,100.8407251,99.88633318,0.007080078,0.013671875,0.000488281,1560,0.00023435,24,0.00023435,0,0.00023435,0.00023435,123:68;143:68,123:0.002355681071773419;143:0.0015133643304426347,123:0.002126784812540361;143:0.0018164114275081855,0.007080078,Yes
137,87.76326337,105.3236268,0.004150391,0.007080078,0.001220703,1560,0.000277762,24,0.000277762,0,0.000277762,0.000277762,147:68;127:68,147:0.002648224236636354;127:0.0042810706104124685,147:0.0025601371272694073;127:0.003880404416555183,0.004150391,Yes
138,89.87016211,123.4587256,0.009887695,0.011230469,0.008544922,1560,0.000247062,24,0.000247062,0,0.000247062,0.000247062,151:68;131:68,151:0.002311844599729357;131:0.002793747729689544,151:0.002473244811568298;131:0.002760905166462463,0.009887695,Yes
139,68.34059934,34.2148408,0.010498047,0.019042969,0.001953125,1560,0.000509079,24,0.000509079,0,0.000509079,0.000509079,155:68;135:68,155:0.0028956999735867406;135:0.008145937346272586,155:0.00283836472422766;135:0.0078031124625191906,0.010498047,Yes
140,96.00252071,150.4406422,0.024902344,0.021972656,0.027832031,1560,0.00021208,24,0.00021208,0,0.00021208,0.00021208,141:68,21:00.0,21:00.0,0.024902344,Yes
141,160.0678883,102.6053186,0.006713867,0.010253906,0.003173828,1560,0.000178467,24,0.000178467,0,0.000178467,0.000178467,140:68;142:68,140:0.0018040096317332721;142:0.0029826920339519614,140:0.0017595325717842392;142:0.002813135223290658,0.006713867,Yes
142,127.877533,142.7595113,0.003540039,0.004150391,0.002929688,1560,0.000223684,24,0.000223684,0,0.000223684,0.000223684,143:68;141:68,143:0.002578784346244506;141:0.0029826920339519614,143:0.0027556581254609414;141:0.002813135223290658,0.003540039,Yes
143,105.1805455,122.1951594,0.006835938,0.010253906,0.003417969,1560,0.00019183,24,0.00019183,0,0.00019183,0.00019183,142:68;144:68;136:68,142:0.002578784346244506;144:0.0028796935560663206;136:0.0015133643304426347,142:0.0027556581254609414;144:0.003046739136989718;136:0.0018164114275081855,0.006835938,Yes
144,90.82615945,127.5510635,0.005004883,0.008300781,0.001708984,1560,0.000375344,24,0.000375344,0,0.000375344,0.000375344,145:68;143:68,145:0.0025745014228557295;143:0.0028796935560663206,145:0.0020385508512315575;143:0.003046739136989718,0.005004883,Yes
145,186.9697507,150.8963689,0.01550293,0.018554688,0.012451172,1560,0.000166025,24,0.000166025,0,0.000166025,0.000166025,144:68;146:68,144:0.0025745014228557295;146:0.0026271300047779333,144:0.0020385508512315575;146:0.0021627938039330274,0.01550293,Yes
146,110.1868855,13.64189655,0.004272461,0.008789063,0.001708984,1560,0.000177213,24,0.000177213,0,0.000177213,0.000177213,145:68;147:88,145:0.0026271300047779333;147:0.002599380660995132,145:0.0021627938039330274;147:0.002331534789991291,0.004272461,Yes
147,111.9714172,114.1992104,0.006225586,0.008544922,0.00390625,1560,0.000212499,24,0.000212499,0,0.000212499,0.000212499,148:68;137:68;146:88,148:0.003373461193455607;137:0.002648224236636354;146:0.002599380660995132,148:0.0028661603556866533;137:0.0025601371272694073;146:0.002331534789991291,0.006225586,Yes
148,97.35406109,118.9336749,0.005249023,0.010009766,0.000488281,1560,0.000412335,24,0.000412335,0,0.000412335,0.000412335,147:68;149:68,147:0.003373461193455607;149:0.011077669115463346,147:0.0028661603556866533;149:0.010414420891391635,0.005249023,Yes
149,74.04470918,5.293198858,0.041381836,0.049316406,0.033447266,1560,0.001496013,24,0.001496013,0,0.001496013,0.001496013,150:68;148:68,150:0.012577553064192754;148:0.011077669115463346,150:0.012085373323988041;148:0.010414420891391635,0.041381836,Yes
150,103.1366944,6.122697907,0.004882813,0.009277344,0.000488281,1560,0.000662246,24,0.000662246,0,0.000662246,0.000662246,149:68;151:68,149:0.012577553064192754;151:0.007187648715490047,149:0.012085373323988041;151:0.007957113486706968,0.004882813,Yes
151,94.25105539,121.1154379,0.013427734,0.019042969,0.0078125,1560,0.000183282,24,0.000183282,0,0.000183282,0.000183282,138:68;152:68;150:68,138:0.002311844599729357;152:0.0025593564590751516;150:0.007187648715490047,138:0.002473244811568298;152:0.002027230998311702;150:0.007957113486706968,0.013427734,Yes
152,144.0862929,164.9138287,0.008789063,0.015136719,0.002441406,1560,0.000302437,24,0.000302437,0,0.000302437,0.000302437,151:68;153:68,151:0.0025593564590751516;153:0.0025384471699978206,151:0.002027230998311702;153:0.0025062902440603496,0.008789063,Yes
153,132.7453125,55.67474296,0.012817383,0.013916016,0.01171875,1560,0.000245811,24,0.000245811,0,0.000245811,0.000245811,152:68;154:68,152:0.0025384471699978206;154:0.0018277712367315568,152:0.0025062902440603496;154:0.0022473858092965926,0.012817383,Yes
154,130.5682528,72.26243378,0.008422852,0.011962891,0.004882813,1560,0.00026647,24,0.00026647,0,0.00026647,0.00026647,153:68;155:68,153:0.0018277712367315568;155:0.0022862059296648585,153:0.0022473858092965926;155:0.0018368200326329687,0.008422852,Yes
155,212.1683753,16.11915415,0.010986328,0.012451172,0.009521484,1560,0.000276497,24,0.000276497,0,0.000276497,0.000276497,139:68;154:68,139:0.0028956999735867406;154:0.0022862059296648585,139:0.00283836472422766;154:0.0018368200326329687,0.010986328,Yes
